Ticker,model,nobs,r2,adj_r2,lb_pval_L12,lb_pval_L24,bg_pval,arch_lm_pval,lb_sq_pval_L24
MSFT,UNI(EMA_08),536.0,0.0014183009650424738,-0.0004517022166707907,0.7192203551300502,0.47557450490878683,0.6872343637886762,0.9361938533774705,0.9826784628532109
MSFT,UNI(normalized_AINI),536.0,0.0011732809157111168,-0.0006971811050457966,0.7160856883840307,0.47416062204940157,0.6854395256517506,0.9403663027896112,0.9839343180783013
NVDA,UNI(EMA_02),536.0,0.002780029783543303,0.0009125766557972481,0.07308770679331289,0.16745974530228663,0.11050318998329718,0.94613550720269,0.9905619401568246
NVDA,UNI(EMA_08),536.0,0.000672116646497245,-0.0011992838841272668,0.07965925135613017,0.1877677883132739,0.11596498093750233,0.9466992200624091,0.9897808383601201
NVDA,UNI(normalized_AINI),536.0,0.0005750491248137646,-0.0012965331801957358,0.0797527350141808,0.18936917594397706,0.11631404206358587,0.9468147839985034,0.989732158710199
ROBO,UNI(EMA_02),536.0,0.00011784174472662112,-0.0017545967538785678,0.9648639861011619,0.3489221534490976,0.9659843475897878,4.456115215928171e-19,2.966296744716339e-20
ROBO,UNI(EMA_08),536.0,6.827430074185514e-05,-0.0018042570207921216,0.9655021715338603,0.3582751694440398,0.9659261712344908,2.8760334653971046e-19,1.793449736563975e-20
ROBO,UNI(normalized_AINI),536.0,0.0001472664345513186,-0.001725116961638573,0.9664194555306228,0.3629493677382173,0.966659929904268,2.607818113385139e-19,1.6121428734421416e-20
TSLA,UNI(EMA_02),536.0,0.005029373138814686,0.0031661322645428758,0.44921904255782075,0.46175955670866264,0.4523019346082243,0.03157238483779553,3.2657660532125845e-05
TSLA,UNI(EMA_08),536.0,0.0016702036738101,-0.00019932777998410423,0.4555824328206459,0.45347357737065747,0.45214777436922626,0.03768848399780492,3.3637600031563854e-05
TSLA,UNI(normalized_AINI),536.0,0.0011684662637259091,-0.0007020047732333445,0.46118217314356613,0.4531545076327277,0.45669466870109077,0.0378961057592913,3.2750476926968624e-05
TSM,UNI(EMA_02),536.0,0.0002307278407843727,-0.0016414992606372802,0.22571205819064658,0.4309463882167723,0.3127803313551483,0.5017310327190327,0.7996300323336747
TSM,UNI(EMA_08),536.0,0.00032471581089466017,-0.001547335283092366,0.22501633350592964,0.4214880636791706,0.31116843616452244,0.5089257156925167,0.808064884938229
TSM,UNI(normalized_AINI),536.0,0.00022098333712561313,-0.0016512620124302657,0.22532439173625493,0.4215998566033361,0.31161593286585393,0.5089049666305765,0.8075616771664575
