Measure,Period,ADF_stat,ADF_p,PP_stat,PP_p,KPSS_stat,KPSS_p,agree_stationarity,error
w1_normalized_AINI_z,2023-2024,-24.797594074442028,0.0,-25.01970793464517,0.0,0.10273957336206295,0.1,True,
w1_normalized_AINI_z,2023-2025,-7.6977001171622454,1.3653087049558243e-11,-26.94296756219494,0.0,0.1509432716556127,0.1,True,
w1_normalized_AINI_z,2024,-9.10962082204721,3.427549913688322e-15,-19.397897302426408,0.0,0.24354333538611106,0.1,True,
w1_normalized_AINI_z,2024-2025,-5.188182946090835,9.293853578778552e-06,-21.061337816745116,0.0,0.26610060811989594,0.1,True,
w1_normalized_AINI_z,2025,-2.4067950675724017,0.13982772882725042,-8.70559680734318,3.7077273474608366e-14,0.9916249786494808,0.01,False,
w1_normalized_AINI_z,Full,-7.6977001171622454,1.3653087049558243e-11,-26.94296756219494,0.0,0.1509432716556127,0.1,True,
w2_EMA_02,2023,-5.594281169861753,1.307754968943729e-06,-5.248546948970041,6.992379390643398e-06,0.16492726751937287,0.1,True,
w2_EMA_02,2023-2024,-7.867506802516078,5.088061115515154e-12,-7.945479347675389,3.2286380364541843e-12,0.08704731090376429,0.1,True,
w2_EMA_02,2023-2025,-6.143619181117729,7.862719253518869e-08,-6.233013796222013,4.9011512289300343e-08,0.18289135554927827,0.1,True,
w2_EMA_02,2024,-4.751871698522895,6.71674695294699e-05,-5.567569366207214,1.492675846930307e-06,0.1627379454185071,0.1,True,
w2_EMA_02,2024-2025,-4.014157430492689,0.0013381663846650823,-4.007787772038114,0.0013702767213491084,0.27338262640445493,0.1,True,
w2_EMA_02,2025,-1.4407537281411977,0.562589954463996,-1.2905188564203705,0.6334987083928512,1.1467658871423683,0.01,False,
w2_EMA_02,Full,-6.143619181117729,7.862719253518869e-08,-6.233013796222013,4.9011512289300343e-08,0.18289135554927827,0.1,True,
w2_EMA_08,2023,-12.957236456471826,3.281533116956748e-24,-12.62115564471167,1.5771765571150897e-23,0.1048108966978637,0.1,True,
w2_EMA_08,2023-2024,-20.219176629666162,0.0,-20.65490176322414,0.0,0.07437094589087312,0.1,True,
w2_EMA_08,2023-2025,-10.03154353096115,1.580190082743255e-17,-22.967017384346164,0.0,0.23456544611972457,0.1,True,
w2_EMA_08,2024,-10.85401593153385,1.5035835779939134e-19,-16.589142425701827,1.805463235496434e-29,0.15240662241239541,0.1,True,
